"Model","RMSE_Calib","NSE_Calib","MI_Calib","RMSE_Valid","NSE_Valid","MI_Valid","Site"
"all_ws_bfs",2.25191261300703,0.875646903446255,0.431798602076715,2.63461109796622,0.434145216158632,0.319053720531551,"05482500"
"all_ws_bfs_attr",1.32071199508732,0.957226993090256,0.616701894602208,4.92087084270246,-0.974039737077694,0.383018519483644,"05482500"
"local",2.80685883048101,0.80680553554643,0.39262400707232,4.73935112370251,-0.831090160241778,0.432976231196699,"05482500"
"local_bfs",4.86933672420896,0.418575734099942,0.251880192764557,4.3738535330824,-0.559554045359322,0.362747636383191,"05482500"
"all_ws",1.54274161771869,0.644207394413173,0.299741473346476,1.90773355388718,0.322658097828121,0.446057590128562,"05484000"
"all_ws_attr",0.721623901778856,0.922154709038804,0.507730034757487,1.29356890575643,0.688576313243247,0.490660890464948,"05484000"
"all_ws_bfs",1.32297602051227,0.738353775652519,0.345736861322311,2.01955232274034,0.240928431001703,0.479253344205121,"05484000"
"all_ws_bfs_attr",0.699165442608562,0.926924728767929,0.529991107618103,0.745027073879219,0.896696124031921,0.547178384248575,"05484000"
"local",0.694875742648446,0.927818678397186,0.542974023474665,1.32719422894673,0.672175448584827,0.502842064250021,"05484000"
"local_bfs",0.606398020750585,0.945029956918656,0.587061330074834,1.17041329843957,0.745052356673419,0.514091035449033,"05484000"
"all_ws",2.21235587594304,0.769970255079832,0.324630829424493,2.50288799576779,0.307570147740336,0.374915499605097,"05484500"
"all_ws_attr",1.18440591338348,0.934071202343326,0.553475660139512,3.17196019122257,-0.112111697239988,0.442148706283583,"05484500"
"all_ws_bfs",1.80693835266666,0.846552190379205,0.403555533380207,2.0907260305986,0.516844191230133,0.367906156274294,"05484500"
"all_ws_bfs_attr",1.09568359133799,0.943578537776277,0.576216940065867,2.2128111041918,0.458770279992364,0.449908899419786,"05484500"
"local",1.899703806865,0.83039220520615,0.413706428141353,3.41978947954117,-0.292681984203763,0.398692746294568,"05484500"
"local_bfs",2.05106995168507,0.802287118339765,0.395778597609477,3.54816490513539,-0.391555538779643,0.377057940528568,"05484500"
"all_ws",0.304491469463301,0.299561094908532,0.0920910650872734,0.344792095163698,-0.621012871314036,0.0949349204467192,"05515500"
"all_ws_attr",0.181312807970606,0.751642678175315,0.28940940252536,0.193527085164207,0.489312328947895,0.252839996675113,"05515500"
"all_ws_bfs",0.279837986782354,0.408392956713455,0.139655328155952,0.306260102800398,-0.278947479258373,0.161688945353648,"05515500"
"all_ws_bfs_attr",0.175789606779894,0.766543274543392,0.304811712496151,0.23500375136817,0.246954093089176,0.210315098894191,"05515500"
"local",0.172310992130744,0.775691378524583,0.333470021297373,0.203501922108459,0.435311564812431,0.256702402610414,"05515500"
"local_bfs",0.160761285883929,0.804753641368477,0.335177895166971,0.19559872773987,0.478320328656792,0.197464592345517,"05515500"
"all_ws",0.576527886467605,0.496865633654391,0.223463867139313,0.60920354708317,0.418850238631744,0.292955560541179,"05517500"
"all_ws_attr",0.36972094627081,0.793085247066858,0.388779710817637,0.407634577892472,0.739801223810613,0.4094673773561,"05517500"
"all_ws_bfs",0.52730842233969,0.579105974455706,0.268235400704027,0.477336367615127,0.643210335690335,0.351991705314922,"05517500"
"all_ws_bfs_attr",0.361342620476215,0.802356869337529,0.415954848540297,0.403818843294467,0.744649696712021,0.370696688384932,"05517500"
"local",0.417397540454889,0.736279970157853,0.349449864847266,0.475831976451207,0.645455735086268,0.330471517995032,"05517500"
"local_bfs",0.413755918973371,0.740861593302947,0.386264735023073,0.453636578945752,0.677760073138049,0.341240397037046,"05517500"
"all_ws",0.53003270714507,0.476176702777367,0.211448814691218,0.477622978232944,0.488173470155333,0.30659540711364,"05518000"
"all_ws_attr",0.324971492749092,0.803088989434068,0.362992172400255,0.390428104300952,0.657993379869188,0.379173205784908,"05518000"
"all_ws_bfs",0.474368617846463,0.580423292229619,0.232812940130673,0.427008795668793,0.590903267982059,0.352292673699165,"05518000"
"all_ws_bfs_attr",0.354407128800629,0.765801360210562,0.36779440987036,0.39382516919993,0.65201597665795,0.351667363333679,"05518000"
"local",0.352142356817206,0.76878500102095,0.343108016911559,0.356462299770445,0.714911579457019,0.403457693089504,"05518000"
"local_bfs",0.35529370666338,0.764628161248996,0.347159218734429,0.417995801676849,0.607990846448871,0.372898837787461,"05518000"
"all_ws",1.45235774336802,0.623181328985896,0.271230911121912,1.13931942549239,0.78491641566636,0.377271992417423,"05524500"
"all_ws_attr",0.912946301803684,0.851106522975478,0.419815671651221,0.803589401517658,0.892999782277053,0.487394169607898,"05524500"
"all_ws_bfs",1.30788853227782,0.694418774570915,0.280023769220495,1.16962064608312,0.773323596940832,0.417586797866726,"05524500"
"all_ws_bfs_attr",0.752324403893912,0.898889675585075,0.489769960125806,0.929056583475337,0.856978742815922,0.451523265918465,"05524500"
"local",0.844977405483935,0.872451487896683,0.437488073195266,1.19434760664452,0.763637949939712,0.44933428320938,"05524500"
"local_bfs",0.756136688220504,0.897862358286929,0.471559882282808,1.02098148153736,0.827276276859402,0.422580998122025,"05524500"
"all_ws",1.12188360080953,0.164723998389865,0.123176978237687,1.59890446827055,-0.586880018275722,0.112467340003782,"05537980"
